iteration,0,1,2,3,4,5,6,7
516,130,442,92,10,3,1,1,0
517,130,442,93,8,4,1,1,0
518,130,442,91,11,3,2,0,0
519,130,442,92,9,4,2,0,0
520,130,441,93,10,3,2,0,0
521,130,441,93,10,3,2,0,0
522,130,441,94,8,4,2,0,0
523,130,442,93,7,5,2,0,0
524,130,441,93,10,3,2,0,0
525,130,441,93,10,3,2,0,0
526,131,443,88,11,4,1,1,0
527,131,442,89,11,4,2,0,0
528,131,442,87,15,2,2,0,0
529,131,441,89,14,2,2,0,0
530,131,441,89,14,2,2,0,0
531,131,442,90,10,4,1,1,0
532,131,441,91,10,4,2,0,0
533,131,444,85,14,3,1,1,0
534,131,442,89,11,4,2,0,0
535,131,443,88,11,4,1,1,0
536,131,442,89,11,4,2,0,0
537,132,440,89,14,1,3,0,0
538,132,440,90,11,4,2,0,0
539,132,439,92,10,4,2,0,0
540,132,439,93,9,4,1,1,0
541,132,440,90,11,4,2,0,0
542,132,437,94,11,4,1,0,0
543,132,436,97,8,5,1,0,0
544,132,439,92,10,4,2,0,0
545,132,439,92,10,4,2,0,0
546,132,437,95,10,3,2,0,0
547,132,439,93,9,4,1,1,0
548,132,438,94,10,3,1,1,0
549,132,436,97,9,3,2,0,0
550,132,437,96,9,3,1,1,0
551,133,440,87,14,3,1,1,0
552,133,438,91,11,4,2,0,0
553,133,440,88,12,4,1,1,0
554,133,439,90,11,4,1,1,0
555,133,440,87,14,3,1,1,0
556,133,439,89,13,3,1,1,0
557,133,439,90,11,4,1,1,0
558,133,439,88,14,3,2,0,0
559,133,438,91,11,4,2,0,0
560,133,439,89,12,4,2,0,0
561,133,437,93,10,4,2,0,0
562,133,439,88,14,3,2,0,0
563,133,440,86,15,3,2,0,0
564,133,438,91,11,4,2,0,0
565,133,439,90,11,4,1,1,0
566,133,441,86,13,4,1,1,0
567,133,441,87,11,5,1,1,0
568,133,438,90,13,3,2,0,0
569,133,440,86,15,3,2,0,0
570,133,441,84,16,3,2,0,0
571,133,440,87,14,3,1,1,0
572,133,441,86,13,4,1,1,0
573,133,440,87,14,3,1,1,0
574,133,437,93,10,4,2,0,0
575,133,438,90,13,3,2,0,0
576,133,439,88,14,3,2,0,0
577,133,440,88,12,4,1,1,0
578,133,441,87,11,5,1,1,0
579,133,440,87,13,4,2,0,0
580,133,440,86,15,3,2,0,0
581,133,441,85,15,3,1,1,0
582,133,441,86,13,4,1,1,0
583,133,440,88,12,4,1,1,0
584,133,440,88,12,4,1,1,0
585,133,440,87,14,3,1,1,0
586,133,441,86,13,4,1,1,0
587,134,438,88,14,3,1,1,0
588,134,438,89,12,4,1,1,0
589,135,434,92,13,3,2,0,0
590,135,434,92,13,3,2,0,0
591,135,435,91,13,3,1,1,0
592,135,435,91,12,4,2,0,0
593,135,434,92,13,3,2,0,0
594,135,434,94,10,4,1,1,0
595,135,436,90,12,4,1,1,0
596,135,435,91,12,4,2,0,0
597,135,434,93,12,3,1,1,0
598,135,436,88,15,3,2,0,0
599,135,434,93,11,4,2,0,0
600,135,435,91,13,3,1,1,0
601,135,433,95,10,4,2,0,0
602,135,433,94,12,3,2,0,0
603,135,435,91,12,4,2,0,0
604,135,435,91,13,3,1,1,0
605,135,435,90,14,3,2,0,0
606,135,435,91,12,4,2,0,0
607,135,435,91,13,3,1,1,0
608,135,434,93,12,3,1,1,0
609,135,433,95,10,4,2,0,0
610,135,433,94,12,3,2,0,0
611,135,436,90,12,4,1,1,0
612,135,435,90,14,3,2,0,0
613,135,434,92,13,3,2,0,0
614,135,434,93,11,4,2,0,0
615,135,433,94,11,5,1,0,0
616,135,433,94,11,5,1,0,0
617,135,433,93,13,4,1,0,0
618,135,433,94,11,5,1,0,0
619,135,434,92,12,5,1,0,0
620,136,432,93,13,3,2,0,0
621,136,433,92,12,4,2,0,0
622,136,433,92,12,4,2,0,0
623,136,434,89,15,3,2,0,0
624,136,434,89,15,3,2,0,0
625,136,435,88,15,3,1,1,0
626,136,434,90,14,3,1,1,0
627,136,433,92,12,4,2,0,0
628,136,433,92,12,4,2,0,0
629,136,434,90,13,4,2,0,0
630,136,433,92,13,3,1,1,0
631,136,434,90,13,4,2,0,0
632,136,435,88,14,4,2,0,0
633,136,435,87,16,3,2,0,0
634,136,433,92,12,4,2,0,0
635,136,434,89,15,3,2,0,0
636,136,433,92,12,4,2,0,0
637,136,432,93,13,3,2,0,0
638,136,434,90,13,4,2,0,0
639,136,435,89,13,4,1,1,0
640,136,433,92,12,4,2,0,0
641,136,436,86,16,3,1,1,0
642,136,436,87,14,4,1,1,0
643,136,434,90,14,3,1,1,0
644,137,432,92,12,4,1,1,0
645,137,433,90,13,4,1,1,0
646,138,431,91,13,4,1,1,0
647,138,431,90,15,3,1,1,0
648,138,430,92,13,4,2,0,0
649,138,430,91,15,3,2,0,0
650,138,429,93,14,3,2,0,0
651,138,430,92,13,4,2,0,0
652,138,431,90,15,3,1,1,0
653,138,431,91,13,4,1,1,0
654,138,430,91,15,3,2,0,0
655,138,430,92,14,3,1,1,0
656,138,430,91,15,3,2,0,0
657,138,430,92,13,4,2,0,0
658,138,431,89,16,3,2,0,0
659,138,431,90,14,4,2,0,0
660,138,431,89,16,3,2,0,0
661,138,429,94,12,4,2,0,0
662,138,429,93,14,3,2,0,0
663,138,430,92,13,4,2,0,0
664,138,429,93,14,3,2,0,0
665,138,431,91,13,4,1,1,0
666,138,430,91,15,3,2,0,0
667,138,429,93,14,3,2,0,0
668,138,429,95,11,4,1,1,0
669,138,430,93,12,4,1,1,0
670,138,430,91,15,3,2,0,0
671,138,430,91,15,3,2,0,0
672,138,429,93,14,3,2,0,0
673,138,430,92,13,4,2,0,0
674,138,431,89,16,3,2,0,0
675,138,430,92,13,4,2,0,0
676,138,429,94,13,3,1,1,0
677,138,429,95,11,4,1,1,0
678,138,429,95,11,4,1,1,0
679,138,428,95,13,3,2,0,0
680,138,432,89,14,4,1,1,0
681,138,431,90,15,3,1,1,0
682,138,431,91,13,4,1,1,0
683,138,431,91,13,4,1,1,0
684,137,433,90,13,4,1,1,0
685,137,432,91,14,3,1,1,0
686,137,433,89,14,4,2,0,0
687,137,432,91,13,4,2,0,0
688,138,430,92,13,4,2,0,0
689,138,429,94,12,4,2,0,0
690,138,428,96,11,4,2,0,0
691,138,430,91,15,3,2,0,0
692,138,431,89,16,3,2,0,0
693,138,431,91,13,4,1,1,0
694,138,432,89,13,5,2,0,0
695,138,430,92,13,4,2,0,0
696,138,431,90,14,4,2,0,0
697,138,430,92,13,5,0,1,0
698,138,429,93,13,5,1,0,0
699,138,429,92,15,4,1,0,0
700,138,428,94,14,4,1,0,0
701,138,431,89,15,5,1,0,0
702,138,428,94,14,4,1,0,0
703,138,429,94,12,5,0,1,0
704,138,428,95,12,5,1,0,0
705,138,428,94,14,4,1,0,0
706,138,428,94,14,4,1,0,0
707,138,431,89,16,3,2,0,0
708,138,432,89,14,4,1,1,0
709,138,429,94,12,4,2,0,0
710,138,432,88,15,4,2,0,0
711,138,430,91,15,3,2,0,0
712,138,430,92,13,4,2,0,0
713,138,429,93,14,3,2,0,0
714,138,429,93,14,3,2,0,0
715,138,430,93,12,4,1,1,0
716,138,429,93,14,3,2,0,0
717,138,429,94,12,4,2,0,0
718,138,431,89,16,3,2,0,0
719,138,430,91,15,3,2,0,0
720,138,431,91,13,4,1,1,0
721,138,430,91,15,3,2,0,0
722,138,429,93,14,3,2,0,0
723,138,429,93,14,3,2,0,0
724,138,431,90,14,4,2,0,0
725,138,431,90,14,4,2,0,0
726,138,430,91,15,3,2,0,0
727,138,431,91,13,4,1,1,0
728,138,429,94,12,4,2,0,0
